content,summary
婴儿湿疹自己能好吗？婴儿湿疹一定需要治疗吗？,婴儿湿疹有自愈可能，不一定要治疗。但是在湿疹急性发作期（如难以判断需咨询医生），建议进行相应治疗。因为瘙痒会给孩子的生活和睡眠带来影响，皮肤炎症还容易继发细菌感染，导致湿疹加重，或者影响康复速度。
婴儿湿疹的宝宝在生活中要注意什么？,•	要注意皮肤的清洁，减少或避免汗液、口水、食物汁液刺激皮肤。•	要注意皮肤保湿，避免皮肤干燥，根据季节和气候干燥程度给宝宝选择合适的润肤剂，每天可以多次涂抹。•	宝宝衣服要保持宽松、柔软、透气，避免刺激皮肤。也不要给宝宝穿过多的衣服，以免宝宝过热出汗或者加重瘙痒。•	如果宝宝会抓挠，要及时修剪宝宝指甲，避免宝宝抓伤自己和感染。•	如果怀疑宝宝有食物过敏，或者宝宝湿疹加重和某种食物有关，不要盲目忌口，而是主动给宝宝记录饮食日记，可以在专业医生指导下进行规范的「食物回避 - 激发试验」判断，到正规医院进行诊治。•	如果宝宝对尘螨或者其它吸入性过敏原过敏，要注意保持房间通风，减少空气中过敏原的浓度。
小儿鼻炎是什么病？,1.简介：小儿鼻炎（Rhinitis in children）指鼻腔粘膜和粘膜下组织的炎症，特点是具有一种或多种下列症状：鼻痒、鼻塞、打喷嚏、流鼻涕。小儿鼻炎常见的形式有变应性鼻炎（过敏性鼻炎）、非变应性鼻炎和感染性鼻炎（急性上呼吸道感染、急性鼻炎、感染性鼻-鼻窦炎）。急性上呼吸道感染，常常称为普通感冒，又称为急性鼻炎，但也可能包括鼻窦粘膜的侵犯，所以用「鼻-鼻窦炎」一称更准确。2.症状：变应性鼻炎主要症状为鼻痒、打喷嚏、流清涕，亦可有鼻塞、眼痒、咽痒、皮肤痒等症状。非变应性鼻炎的主要症状为鼻塞和鼻后滴漏，亦可有喷嚏。感染性鼻炎除了打喷嚏、鼻塞和流鼻涕等鼻部症状外，还有咽痛、咳嗽、低热、头痛等上呼道感染的症状表现。小儿鼻炎亦可并发中耳炎，出现听力下降、耳堵塞感；或并发扁桃体炎，出现咽痛、打鼾等咽部症状。3.病因：感染性鼻炎的病因主要为感染，常见是病毒感染，其它还有细菌感染、真菌感染。变应性鼻炎主要病因为过敏原，导致季节性变应性鼻炎的常见过敏原包括树木、草皮和杂草花粉，以及室外霉菌。常年性变应性鼻炎最常与室内变应原相关，包括屋尘螨、蟑螂、来自家中被毛宠物的变应原、啮齿类动物，以及真菌。非变应性鼻炎的诱发因素有：刺激性气味和强烈的香味，如烟草烟雾、香水、酒精、汽车尾气，以及清洁产品、新印刷出来的纸和温度变化等。病毒导致的感染性鼻炎具传染性，会导致交叉感染，大部分病毒是通过接触、飞沫传播，少数通过空气传播。4.诊断：具有一种或多种下列症状：鼻痒、鼻塞、打喷嚏、流鼻涕时可以考虑为小儿鼻炎。如果症状符合相应的变应性鼻炎、非变应性鼻炎、感染性鼻炎或其它情况，则需要根据临床线索进一步明确原因。5.治疗：小儿鼻炎的处理原则是明确病因，针对病因进行治疗。病因不明者，可进行经验性对症治疗；如果治疗后鼻炎症状没有缓解，应重新评估。对小儿鼻炎患儿要注意去除或避免接触过敏原、烟雾等环境诱发和加重咳嗽的因素。小儿鼻炎常见病因的治疗原则如下：变应性鼻炎：予以抗组胺药物、鼻喷糖皮质激素治疗，或联合鼻黏膜减充血剂、白三烯受体拮抗剂治疗；查明过敏原后，部分可以考虑结合脱敏治疗。非变应性鼻炎：建议鼻内糖皮质激素（INGC）联合鼻内抗组胺药，而不是单用其中一种药物。目前也有含糖皮质激素和抗组胺药物的复合喷雾。对于具有明显鼻充血的非变应性鼻炎患者，如果其鼻充血症状经 INGC、氮卓斯汀或两者联合用药治疗均无效，则建议按需加用口服非处方减充血剂。感染性鼻炎：急性症状多为病毒感染所致，其病情较轻，不需要特殊治疗，一般为对症处理，比如充分口服补液、按需退热、生理盐水洗鼻（视频） / 喷鼻（视频）等。若有细菌感染的症状，比如症状迁延超过 2 周，或发热退而复现，或持续高热伴脓鼻涕、精神差等，可以考虑进行抗感染治疗。6.生活：小儿鼻炎患儿在生活饮食上，注意多吃水果、蔬菜；注意保证每天 300 mL 牛奶，避免缺钙；烹饪时注意少放盐、少用含盐高的调料；少吃腌制菜、肉等；远离烟酒等刺激性食物。居住环境保持干净、整洁，家长应该戒烟，寒冷季节注意保暖等，以预防感冒，以免诱发鼻炎的发作或加重鼻炎症状。7.预防：季节性变应性鼻炎是可以预防的，如果患儿在每年固定季节的时间出现症状，要告知医护人员，并且应该在该特定时间之前 1～2 周开始用药即可预防部分患者的症状。另外，变应性鼻炎患儿应该避开过敏因素也可帮助预防症状，例如，若患儿对花粉过敏，在发作季节应该让患儿待在室内，关闭车窗或房间窗户，使用空调换气，注意让患儿在睡前泡澡或淋浴，冲洗掉头发和皮肤上的花粉，并使用带有特殊过滤器，如高效空气过滤器（HEPA）的真空吸尘器，以尽可能保持室内空气干净。常年性变应性鼻炎应避免接触过敏原，鼻窦炎饮食清淡。所有鼻炎患儿均应预防感冒，以免诱发鼻炎的发作。对于感染性鼻炎也是可以预防交叉感染来降低其发生率。在秋冬寒冷时应注意保暖，平时勤洗手，不与生病病人共同食具，不接触呼吸道疾病等病人的接触的物品，其喷嚏、咳嗽时保持距离等。8.就诊：推荐科室儿科复旦大学附属儿科医院上海市万源路399号、第二执业点：医学院路130号三级甲等首都医科大学附属北京儿童医院北京市西城区南礼士路56号三级甲等北京大学第一医院北京市西城区西什库大街8号三级甲等浙江大学医学院附属儿童医院杭州市拱墅区竹竿巷57号三级甲等
鼻窦炎和鼻炎是同一种病吗？,一个或多个鼻窦发生炎症称为鼻窦炎，累及的鼻窦包括：上颌窦、筛窦、额窦和蝶窦，而鼻炎是指鼻腔粘膜和粘膜下组织的炎症。但是鼻窦炎和鼻炎并不是同一种疾病。两者虽然都有鼻塞、流涕等表现，但两者发病部位不同，鼻窦炎的发病部位在鼻窦，鼻炎发病部位在鼻腔。不过它们的关系非常密切，两者可相互影响、相互并发，如鼻炎可诱发或加重鼻窦炎，反之亦然。而鼻窦炎几乎都会伴有鼻黏膜炎症，所以常常用「鼻-鼻窦炎」一称。
小儿鼻炎有哪些类型？,最常见的小儿鼻炎形式是：变应性鼻炎，非变应性鼻炎和感染性鼻炎（包括急性上呼吸道感染，也称感冒或急性鼻炎，和感染性鼻-鼻窦炎）。•	变应性鼻炎主要是由于接触过敏原引起的，又称过敏性鼻炎。•	非变应性鼻炎常常由于某种气味，如烟草、酒精挥发气味、汽车尾气等刺激性、浓烈气味诱发，甚至温度变化都可诱发。多呈慢性病程。o	非变应性鼻炎有许多同义词，包括：特发性鼻炎、非变应性非感染性鼻炎、内源性鼻炎、血管运动性鼻炎或非变应性血管运动性鼻炎。•	感染性鼻炎：o	急性上呼吸道感染 / 急性鼻炎/ 急性鼻-鼻窦炎是一种轻度的病毒感染性疾病，其病程具有自限性，一般来说，婴幼儿病程在 10～14 天，较大儿童在 5～7 天。o	急性细菌性鼻-鼻窦炎，少数病毒感染性鼻炎可继发细菌感染，需要抗感染治疗。o	真菌感染导致的鼻-鼻窦炎，还有慢性鼻-鼻窦炎在儿童中均少见，在此暂不论述。
小儿鼻炎会影响智力、面容等发育吗？,小儿鼻炎鼻塞改善不佳，患儿张口呼吸，或并发扁桃体炎、腺样体肥大时，张口呼吸，导致大脑血氧不足。•	有研究称长期口呼吸与一种特征性的面部发育型相关，认为长期张口吸呼形成腺样体面容，表现为上颌骨变长，腭骨、上切牙突出，但这种相关性尚有争议。•	大脑血氧不足，导致发育缓慢、智力下降、上课精神不集中、多动症表现等。
小儿鼻炎会传染吗？,病毒导致的感染性鼻炎具传染性，会导致交叉感染，大部分病毒是通过接触、飞沫传播，少数通过空气传播。因此，生病的孩子适当休息隔离，大家养成勤洗手，保证手卫生，保持良好的咳嗽礼仪（咳嗽、打喷嚏时对着肘弯处），可以减少病毒的传播。
怀疑小儿鼻炎，可以做哪些检查？,•	鼻内镜检查：鼻内窥镜对于鼻炎的类型及诊断有指导意义。•	血清总 IgE、特异性 IgE 和皮肤点刺试验：病史和过敏原检查相符合能诊断变应性鼻炎，对了解患儿有无特应性体质等也有一定参考价值。•	病原学检查：对于感染性鼻炎，如果有明确病因的需要，可以进行一些抗原、抗体和培养检查，以指导用药。
小儿鼻炎能自己好吗？,•	如果为季节性变应性鼻炎，当发作季节过去，症状可以缓解或消失，但会反复发作。•	非变应性鼻炎在避免诱发因素后，症状也可以缓解或消失，当再次暴露于诱发因素后还会再发。•	急性上呼吸道感染病程具有自限性，一般来说，婴幼儿病程在 10～14 天，较大儿童在 5～7 天。但如果病情迁延不愈，或症状加重，需及时至医院就诊。
小儿鼻炎能根治吗？,•	变应性鼻炎在避免接触过敏原，用药治疗后，症状可被控制，但并不能根治。•	感染性鼻炎多是病毒，具有自限性，细菌经合理抗感染，也可以彻底治愈的。但其发病有季节规律性，即使痊愈后不注意防护，日后仍会患病。•	非药物性鼻炎在药物控制后，应该避免诱发因素，以防复发。
小儿鼻炎还有什么其它的护理注意事项？,小儿鼻炎患儿的居住环境要保持干净、整洁，家长应该戒烟，寒冷季节注意保暖等，以预防感冒，以免诱发鼻炎的发作或加重鼻炎症状。对于季节性变应性鼻炎的患儿，应在发作季节避免外出，保持室内空气清洁。
新生儿黄疸是什么？,1.简介：新生儿黄疸也称「新生儿高胆红素血症」，几乎所有新生儿都会出现血清或血浆总胆红素（total bilirubin，TB）水平高于 1 mg/dL（17 µmol/L）的情况，该值是成人正常值的上限。随着 TB 的增高，会产生新生儿黄疸，即因胆红素沉积引起的皮肤和（或）结膜黄染 。新生儿由于其自身胆红素代谢能力的不足，通常在生后 1～2 周内，血液中总是会出现一定程度的胆红素的蓄积，就新生儿而言，血中总胆红素值 > 5～7 mg/dl 时，我们就能够用肉眼看到皮肤黄染（即黄疸）。2.症状：生理性黄疸和病理性黄疸出现的时间存在一定的差别 ：生理性黄疸：一般在生后 2～3 天开始出现，4～5 天达到高峰，持续 7～10 天左右可消退；病理性黄疸：可能出现更早（生后 24 小时内），更快（每天上升幅度超过 5 mg/dl），更高，以及更加持久（黄疸持续时间往往超过 2～4 周，甚至长期不退）当然，以上的标准也不是一成不变的，如早产儿的生理性黄疸也可能比正常足月儿来的更早、更高、更持久。3.病因：人类皮肤之所以会出现黄染，主要在于血液中有一种叫「胆红素」的物质超出了正常水平。 除了胆红素超标外，过量地摄入胡萝卜素（如胡萝卜、橘子等），也可能引起皮肤发黄，但较少发生，而且不属于黄疸。4.诊断：严格意义上，新生儿黄疸应当称为新生儿高胆红素血症，确诊必须有「胆红素值升高」，进而导致皮肤、巩膜（即眼白）出现了黄染。新生儿由于饮食等其他因素导致皮肤黄染的可能性微乎其微，所以新生儿皮肤逐渐出现黄染时，基本能确定是由于胆红素升高所致，就可以称为新生儿黄疸。5.治疗：包括光照疗法、换血治疗、药物治疗 。光照疗法：简称光疗，目的是降低血清胆红素。换血治疗：目的是防止胆红素脑病的发生。药物治疗：包括酶诱导剂、白蛋白、静注免疫球蛋白、益生菌等药物。6.生活：黄疸也可重新出现，但随着患儿肠道的逐渐适应，黄疸往往比以前轻 。出现黄疸复升时，可先停止哺乳 3 天，若症状没有减轻需立即就医，进一步查明原因。7.预防：由于每个新生儿的代谢情况各有差异，故生理性黄疸没有有效的预防措施。病理性黄疸常由于各种因素导致，可通过预防病因降低新生儿黄疸的发病风险。常见措施如下：若母亲血型为 RH 阴性，孕期应动态监测各项相关指标，以防止新生儿溶血症的发生。新生儿溶血症会引起胆红素生成过多，导致病理性黄疸。做好早期喂养干预，如早哺乳（生后 1 小时内进行哺乳）、勤吸吮（至少每日 8～12 次），必要时监测胆红素水平。重视脐部护理，及时消毒包扎更换，避免滋生细菌，增加感染风险，进而加重黄疸。新生儿出生后存在胆管闭锁等疾病时，应积极进行治疗，避免病情加重引发本病。8.就诊：隋静 副主任医师北京明德医院小儿内科张成强 主治医师复旦大学附属妇产科医院新生儿科黄静娴 主治医师广州市第一人民医院南沙医院小儿内科
新生儿黄疸是怎么分类的？,根据病因不同，新生儿黄疸可分为：1.	生理性黄疸：也称作「非病理性高胆红素血症」，属于正常情况下出现的黄疸，是一种生理现象，不会对新生儿造成伤害，不需要处理。在新生儿时期，当血清胆红素值＞85 μmol/L 时肉眼即可观察到皮肤黄疸，即为生理性黄疸 。一般在新生儿出生后 2～3 天出现，4～6 天达到高峰，7～10 天开始逐渐消退 。2.	病理性黄疸：也称作「非生理性高胆红素血症」，由各类病理性因素引起的黄疸，如母乳性黄疸、新生儿肝炎综合征等，具体情况如下 ：o	日龄不足 24 小时出现黄疸，血清总胆红素（TSB）＞102 μmol/L；o	足月儿 TSB＞220.6 µmol/L，早产儿 TSB＞255 μmol/L；o	血清结合胆红素＞26 µmol/L；o	TSB 每天上升＞85 μmol/L；o	黄疸持续时间较长，超过 2～4 周，或进行性加重。
新生儿黄疸常见吗？,常见。 新生儿黄疸是新生儿时期常见的症状之一，流行病学研究显示，新生儿黄疸的发病率可达 345／10 万～566／10 万以上，正常情况下，足月儿中约有 80% 可肉眼观察到黄疸 。
新生儿黄疸会有什么危害？,1.	生理性黄疸：属于正常情况下出现的黄疸，是一种生理现象，不会对新生儿造成伤害。2.	病理性黄疸：o	原发疾病：对于病理性黄疸的患儿，引起黄疸上升的那些「病理性因素」本身就是一种危害，如溶血、肝炎、感染等，严重者会造成神经系统损伤；o	胆红素脑病：这是胆红素对宝宝造成的最大损害，胆红素脑病对婴幼儿的神经系统发育、身体健康、生活质量等均可造成严重影响，必须积极预防治疗 。
新生儿生理性黄疸是怎么出现的？,黄疸的产生，跟胆红素的来源和运输过程直接相关。新生儿黄疸和新生儿的红细胞、肝脏、肠道功能的特殊性关系非常大。具体机制如下 ：1.	胆红素生成过多：红细胞是有寿命的，不断产生、分解之后可产生胆红素，新生儿的红细胞寿命更短（约 70～90 天，而成人为 120 天）、红细胞数量更多等使得胆红素产生过多。2.	胆红素排泄缺陷：红细胞分解产生的胆红素就是间接胆红素，由肝脏「改造」成为直接胆红素才能被排出，当肝脏出现问题或发育不成熟时，间接胆红素就会因未经处理而无法排出，在身体各处逃窜。新生儿肝脏功能不成熟，从而导致它「改造」间接胆红素的能力低下，从而使胆红素排出缓慢。3.	肠肝循环：简要来说，胆红素在随大便排出体外之前还有一部分会重新被回收到血液中去。新生儿往往由于肠道功能不完善，导致这部分回收的比成人多得多。4.	白蛋白功能差：在胆红素的代谢过程中，白蛋白充当着卡车的角色，可把间接胆红素运送到肝脏进行「改造」。而新生儿体内的白蛋白能力和数量常不足，进而导致胆红素排出减少。
新生儿皮肤发黄就是黄疸了吗？,基本上是。严格意义上，新生儿黄疸应当称为新生儿高胆红素血症，确诊必须有「胆红素值升高」，进而导致皮肤、巩膜（即眼白）出现了黄染。新生儿由于饮食等其他因素导致皮肤黄染的可能性微乎其微，所以新生儿皮肤逐渐出现黄染时，基本能确定是由于胆红素升高所致，就可以称为新生儿黄疸。
新生儿母乳性黄疸怎么确诊？,目前母乳性黄疸的确诊缺乏直观的实验室检查手段。主要依靠以下几点来诊断 ：1.	是纯母乳喂养或以母乳喂养为主的新生儿；2.	黄疸的表现符合母乳性黄疸的特点；3.	患儿一般情况良好，精神食欲正常，生长发育良好；4.	最重要的是停母乳 48 h～72 h 天后，患儿黄疸明显消退，血胆红素值迅速下降 30%～50%，恢复母乳喂养后黄疸再次加重。
新生儿母乳性黄疸怎么处理？,一般认为母乳性黄疸的预后良好，暂停母乳，或者继续母乳喂养，黄疸都可自行消退。目前国内对于母乳性黄疸的处理建议如下 ：1.	早发型母乳性黄疸：主要考虑是因为早期能量摄入不足所致，所以应当鼓励少量多次的喂奶，保证足够的母乳量和能量的摄入，必要时可以补充配方奶；同时要积极监测胆红素值的情况（建议住院监测），若达到干预标准，则需及早干预。2.	晚发型母乳性黄疸：TSB <15 mg/dl 时不需要停喂母乳，暂不处理；> 15 mg/dl 时，暂停母乳 3 天，改人工喂养；> 20 mg/dl 时，需要加用光疗。
新生儿黄疸的患儿使用光疗，会有副作用吗？,有的。常见的副作用如下：1.	发热：主要是因为蓝光箱本身产热的原因，只要注意通风即可。2.	腹泻、皮疹：一般停止光疗后即可缓解。3.	光疗时光线可对视网膜造成伤害，而且长时间的强光疗有增加男婴外生殖器鳞癌的风险。所以在光疗时要用遮光眼罩遮住双眼，用尿布遮盖会阴部，而尽量暴露其他部位的皮肤 。
新生儿黄疸在临床上常见的治疗药物有哪些？,1.	酶诱导剂：常用的是苯巴比妥，它可以增加肝细胞处理未结合胆红素的能力，可能出现的副作用为嗜睡、乏力等 。有高胆红素血症家族史的新生儿，一般推荐生后 24 h～3 d 口服给药，持续 3～5 d 。2.	白蛋白：主要用于结合游离的胆红素，预防胆红素脑病的发生。用法为静脉输注，偶可引起皮疹、颜面潮红、恶心、发热等不良反应 。3.	静注免疫球蛋白：主要用于溶血的患者，用于阻断溶血过程。输注过程中可能出现头痛、心慌、恶心等不良反应 。4.	益生菌：常用的是双歧杆菌三联活菌散、枯草杆菌二联活菌颗粒等，可以促进胆红素的转化和排泄，降低胆红素浓度 。使用温水冲服给药，一天三次。尚未有明显不良反应 。
